TravelTimeCode,SegmentLength,DIRAADT,LOTTRAMP,LOTTRMIDD,LOTTRPMP,TTTRAMP,TTTRMIDD,TTTRPMP,TTTRWE,TTTROVN,PHED,geometry,year
110P15778,0.241,27050,1.03,1.03,1.04,1.1,1.11,1.13,1.14,1.15,,"LINESTRING (-77.39355559999996 37.22511120000007, -77.39345739999999 37.22491260000004, -77.39336399999996 37.22474600000004, -77.39332599999994 37.224691000000064, -77.39325699999995 37.22460200000006, -77.39315799999997 37.224447000000055, -77.39300699999995 37.22417800000005, -77.39284399999997 37.22382700000003, -77.39273599999996 37.22358600000007, -77.39269399999995 37.22348000000005, -77.39263399999999 37.22333100000003, -77.39256299999994 37.22314400000005, -77.39234599999997 37.222574000000066, -77.39215399999995 37.222042000000044, -77.39199399999995 37.221610000000055, -77.39168299999994 37.22072900000006, -77.39157499999999 37.22044100000005, -77.39152899999993 37.220249000000024)",2017
110P16150,0.538,8110,1.03,1.03,1.03,1.08,1.07,1.08,1.11,1.12,,"LINESTRING (-77.34574199999997 37.16686100000004, -77.34639199999998 37.16637000000003, -77.34693899999996 37.16594800000007, -77.34695699999997 37.16593400000005, -77.34787399999993 37.16523200000006, -77.34874699999995 37.16456100000005, -77.34922999999998 37.16418700000003, -77.34946499999995 37.164004000000034, -77.34979199999998 37.163752000000045, -77.35017999999997 37.16344800000007, -77.35043099999996 37.16323100000005, -77.35059199999995 37.16307500000005, -77.35073099999994 37.16293600000006, -77.35090899999994 37.162735000000055, -77.35106599999995 37.16254100000003, -77.35120999999998 37.16235300000005, -77.35132999999996 37.16217400000005, -77.35145399999999 37.16196800000006, -77.35156599999993 37.16176100000007, -77.35167199999995 37.16153000000003, -77.35176399999995 37.16131900000005, -77.35185599999994 37.16105600000003, -77.35194199999995 37.160750000000064, -77.35211999999996 37.16004200000003, -77.35228899999998 37.15935900000005, -77.35252599999995 37.158453000000065, -77.35261499999996 37.15811000000008, -77.35263499999996 37.15803900000003, -77.35265219999997 37.15796100000006, -77.35266659999996 37.15787400000005, -77.35274679999998 37.157696000000044)",2017
110P16148,0.648,5802,1.04,1.03,1.04,1.14,1.14,1.14,1.13,1.17,,"LINESTRING (-77.35162399999996 37.15890200000007, -77.35144899999995 37.15911900000003, -77.35138299999994 37.159200000000055, -77.35131099999995 37.15930800000007, -77.35118099999994 37.159501000000034, -77.35093299999994 37.159861000000035, -77.35068299999995 37.16020200000003, -77.35042999999996 37.16053900000003, -77.35028899999998 37.16071100000005, -77.35013199999997 37.16089900000003, -77.34983899999997 37.16123700000003, -77.34942399999994 37.16168700000003, -77.34900799999997 37.162104000000056, -77.34879599999994 37.16231400000004, -77.34828299999998 37.16281100000003, -77.34691499999997 37.164139000000034, -77.34508999999997 37.16591600000004, -77.34460099999995 37.16639900000007)",2017
110N04828,0.045,23699,1.11,1.1,1.12,1.28,1.28,1.31,1.34,1.43,,"LINESTRING (-77.39213599999994 37.217224000000044, -77.39226399999995 37.21714240000006, -77.39277279999999 37.21682300000003)",2017
110+04770,1.61,9097,1.04,1.04,1.04,1.12,1.12,1.13,1.11,1.14,,"LINESTRING (-77.34460099999995 37.16639900000007, -77.34418899999997 37.16680100000008, -77.34418099999994 37.16680900000006, -77.34273399999995 37.16821600000003, -77.34248699999995 37.168462000000034, -77.34225599999996 37.16868900000003, -77.34205999999995 37.168889000000036, -77.34184399999998 37.16910800000005, -77.34159799999998 37.16937900000005, -77.34146999999996 37.16952300000003, -77.34135999999995 37.16965400000004, -77.34127199999995 37.16977300000008, -77.34114799999998 37.169936000000064, -77.34100699999993 37.17012900000003, -77.34094899999997 37.17021300000005, -77.34091339999998 37.17026580000004, -77.34087299999999 37.170326000000045, -77.34083899999996 37.170379000000025, -77.34067699999997 37.170633000000066, -77.34054699999996 37.17086500000005, -77.34040799999997 37.17112800000007, -77.34028399999994 37.171384000000046, -77.34017599999999 37.17162600000006, -77.34006999999997 37.17188300000004, -77.33996799999994 37.17215100000004, -77.33988099999993 37.17242200000004, -77.33981199999994 37.17268900000005, -77.33974599999993 37.17296100000004, -77.33969299999995 37.173219000000074, -77.33965199999994 37.17347700000005, -77.33962699999995 37.173685000000035, -77.33960999999994 37.17386800000003, -77.33959299999998 37.17409200000003, -77.33958299999995 37.17436100000003, -77.33956799999999 37.17526300000003, -77.33953999999994 37.17636700000003, -77.33952899999997 37.17715000000004, -77.33952299999999 37.177459000000056, -77.33950899999996 37.17805800000008, -77.33949699999994 37.178284000000076, -77.33947199999994 37.17863500000004, -77.33944099999997 37.178935000000024, -77.33939799999996 37.17929000000004, -77.33935999999994 37.17951900000003, -77.33931499999994 37.17979200000008, -77.33926399999996 37.18007800000004, -77.33919299999997 37.180394000000035, -77.33912699999996 37.180679000000055, -77.33906399999995 37.180938000000026, -77.33896299999998 37.18131100000005, -77.33887299999998 37.18159700000007, -77.33876599999996 37.18192400000004, -77.33864099999994 37.18227100000007, -77.33846899999998 37.18270200000006, -77.33832499999994 37.183043000000055, -77.33815899999996 37.18340500000005, -77.33798599999994 37.18376100000006, -77.33779699999997 37.18411200000003, -77.33758099999994 37.18450400000006, -77.33740999999998 37.18480600000004, -77.33721899999995 37.18511600000005, -77.33702099999994 37.18541400000004, -77.33679999999998 37.18573100000003, -77.33654199999995 37.18607700000007, -77.33627499999994 37.18642300000005, -77.33610299999998 37.18662900000004, -77.33599899999996 37.186754000000064, -77.33584099999996 37.186942000000045, -77.33564099999995 37.18717700000008, -77.33543199999997 37.18740900000006, -77.33529799999997 37.187550000000044, -77.33510499999994 37.18774300000007)",2017
110P15724,0.257,24566,1.03,1.03,1.04,1.09,1.11,1.12,1.12,1.12,,"LINESTRING (-77.39070599999997 37.22273500000006, -77.39094099999994 37.22293700000006, -77.39151299999997 37.22342800000007, -77.39181399999995 37.22369800000007, -77.39215999999999 37.22402400000004, -77.39244699999995 37.22431100000006, -77.39275099999998 37.224631000000045, -77.39296299999995 37.224860000000035, -77.39310499999993 37.225014000000044, -77.39315759999994 37.22506320000008, -77.39330059999998 37.22523800000005, -77.39341959999996 37.22534140000005, -77.39369239999996 37.225582200000076)",2017
110P15726,0.419,23699,1.04,1.03,1.04,1.1,1.11,1.12,1.13,1.13,,"LINESTRING (-77.39162299999998 37.21745560000005, -77.39118399999995 37.21776600000004, -77.39101999999997 37.21789200000006, -77.39096899999998 37.217932000000076, -77.39078399999994 37.218094000000065, -77.39060999999998 37.218263000000036, -77.39044599999994 37.21843700000005, -77.39029299999999 37.21861900000005, -77.39015199999994 37.21880500000003, -77.39007679999997 37.21891240000008, -77.39002199999999 37.218998000000056, -77.38996499999996 37.21909500000004, -77.38990999999999 37.219193000000075, -77.38981299999995 37.21939500000008, -77.38972999999999 37.21960300000006, -77.38965999999994 37.21981100000005, -77.38963699999994 37.21990200000005, -77.38960399999996 37.22002100000003, -77.38956899999994 37.22022400000003, -77.38955099999998 37.22041100000007, -77.38954599999994 37.220609000000024, -77.38955499999997 37.22079400000007, -77.38957699999997 37.22097500000007, -77.38961399999994 37.221156000000065, -77.38966399999998 37.22133500000007, -77.38972999999999 37.221509000000026, -77.38980899999996 37.221681000000046, -77.38990299999995 37.22184800000008, -77.39001299999995 37.22201200000006, -77.39013999999997 37.22217800000004, -77.39020499999998 37.222255000000075, -77.39033899999998 37.22239700000006, -77.39040799999998 37.22246500000006, -77.39048199999996 37.22253800000004, -77.39056199999999 37.22260800000004, -77.39064899999994 37.22268900000006, -77.39070599999997 37.22273500000006)",2017
110P15786,0.023,23699,1.03,1.03,1.04,1.1,1.1,1.12,1.14,1.14,,"LINESTRING (-77.39152899999993 37.220249000000024, -77.39148299999994 37.22009600000007, -77.39143699999994 37.219899000000055, -77.39142699999996 37.21985200000006, -77.39141339999998 37.21975960000003, -77.39139899999998 37.21966000000003, -77.39138499999996 37.21946600000007, -77.39138499999996 37.21927100000005, -77.39139599999999 37.219078000000025, -77.39142099999998 37.21888500000006, -77.39146099999994 37.21869400000003, -77.39151399999997 37.21850400000005, -77.39158599999996 37.218319000000065, -77.39167299999997 37.21813800000007, -77.39177399999994 37.217959000000064, -77.39188899999994 37.217783000000054, -77.39197799999994 37.217662000000075, -77.39204999999998 37.21754580000004, -77.39211879999993 37.217458400000055, -77.39218759999994 37.217373800000075, -77.39229619999998 37.217262600000026, -77.39251319999994 37.217069200000026, -77.39277279999999 37.21682300000003)",2017
110-04827,2.131,26870,1.02,1.02,1.03,1.07,1.07,1.1,1.1,1.11,,"LINESTRING (-77.39277279999999 37.21682300000003, -77.39390419999995 37.21609040000004, -77.39445259999997 37.21573540000003, -77.39532959999997 37.215175000000045, -77.39536099999998 37.21515500000004, -77.39540499999998 37.21512900000005, -77.39632899999998 37.214514000000065, -77.39729799999998 37.21387500000003, -77.39791999999994 37.21345500000007, -77.39825999999994 37.213227000000074, -77.39986299999998 37.212162000000035, -77.40019099999995 37.211943000000076, -77.40115599999996 37.211298000000056, -77.40212599999995 37.21065900000008, -77.40254399999998 37.21040100000005, -77.40286599999996 37.21021500000006, -77.40317699999997 37.210052000000076, -77.40344099999999 37.20993100000004, -77.40366699999998 37.209831000000065, -77.40392299999996 37.209719000000064, -77.40519899999998 37.20919900000007, -77.40779599999996 37.208136000000025, -77.40838199999996 37.20790200000005, -77.40877499999993 37.20773400000007, -77.40913999999998 37.20756300000005, -77.40950099999998 37.20738700000004, -77.40985299999994 37.207197000000065, -77.41019299999994 37.20699900000005, -77.41052099999996 37.20679300000006, -77.41084999999998 37.20657500000004, -77.41088699999995 37.20655000000005, -77.41103199999998 37.20644500000003, -77.41126799999995 37.206267000000025, -77.41146499999996 37.20611300000007, -77.41175399999997 37.20587000000006, -77.41203499999995 37.20561900000007, -77.41230299999995 37.205359000000044, -77.41256099999998 37.20509400000003, -77.41280699999999 37.20482100000004, -77.41304099999996 37.20454200000006, -77.41310699999997 37.20446100000004, -77.41312099999999 37.20444200000003, -77.41331099999996 37.20418900000004, -77.41352699999999 37.20387100000005, -77.41373099999998 37.203561000000036, -77.41396599999996 37.20318700000007, -77.41429299999999 37.20267800000005, -77.41471399999995 37.20200500000004, -77.41490299999998 37.201719000000026, -77.41506199999998 37.20149800000007, -77.41513959999997 37.20140280000004, -77.41522599999996 37.20129700000007, -77.41540099999997 37.20110100000005, -77.41558899999995 37.20091300000007, -77.41578899999996 37.20073200000007, -77.41599699999995 37.20055800000006, -77.41601539999994 37.200544000000036, -77.41621599999996 37.20039000000003, -77.41644299999996 37.20022800000004, -77.41668099999998 37.200076000000024, -77.41692699999999 37.19993600000004, -77.41718299999997 37.199802000000034, -77.41744599999998 37.19967800000006, -77.41771599999998 37.199564000000066, -77.41799399999996 37.199460000000045, -77.41827699999999 37.19936700000005, -77.41856499999994 37.19928600000003, -77.41885999999994 37.19921500000004, -77.41915299999994 37.19915700000007, -77.41946099999996 37.199110000000076, -77.41964499999995 37.19908600000008, -77.41979499999997 37.19906800000007, -77.41990919999995 37.199064400000054, -77.42008899999996 37.19904520000006, -77.42033799999996 37.19903500000004, -77.42041199999994 37.19903300000004, -77.42072199999996 37.19903500000004, -77.42097399999994 37.19904400000007, -77.42154599999998 37.199081000000035, -77.42197999999996 37.19911200000007, -77.42269999999996 37.19916400000005)",2017
110P04770,0.927,9097,1.03,1.03,1.03,1.11,1.12,1.15,1.09,1.12,,"LINESTRING (-77.33510499999994 37.18774300000007, -77.33487899999994 37.187982000000034, -77.33464299999997 37.18820800000003, -77.33445799999998 37.18838400000004, -77.33422899999994 37.18858600000004, -77.33415099999996 37.18865500000004, -77.33391299999994 37.18885100000006, -77.33385499999997 37.188905000000034, -77.33334059999999 37.18933480000004, -77.33287479999996 37.189696800000036, -77.33206399999995 37.190274800000054, -77.33181399999995 37.190433400000074, -77.33164679999999 37.19054580000005, -77.33123399999994 37.190802000000076, -77.33097359999994 37.19095420000008, -77.33059039999995 37.191178800000046, -77.33036599999997 37.19129740000005, -77.32951059999994 37.19174400000003, -77.32860679999999 37.19216360000007, -77.32832959999996 37.192305400000066, -77.32795819999996 37.19248460000006, -77.32787619999993 37.19253320000007, -77.32778759999997 37.19257860000005, -77.32729539999997 37.19282480000004, -77.32683059999994 37.19304400000004, -77.32465899999994 37.19413700000007, -77.32312199999996 37.19489000000004, -77.32160499999998 37.19562700000006)",2017
