year,MPO,Hopewell,Petersburg,Colonial Heights,Chesterfield,Dinwiddie,Prince George
2006,0,0,0,0,0,0,0
2007,0.05,-0.07,-0.031,-0.07,-0.073,-0.057,0.072
2008,0.14,0.06,-0.07,0.013,-0.132,-0.112,0.051
2009,0.121,0.119,-0.068,0.091,-0.062,0.039,0.052
2010,0.144,0.093,0.09,-0.032,-0.008,-0.091,-0.036
2011,0.133,0.116,-0.035,0.09,-0.002,-0.055,0.052
2012,0.257,0.208,0.023,0.113,0.008,0.031,0.15
2013,0.084,0.236,0.031,0.097,0.066,0.001,0.189
2014,0.265,0.234,0.148,0.152,0.083,0.025,0.18
2015,0.257,0.217,0.117,0.065,0.111,-0.07,0.077
2016,0.244,0.235,0.069,0.201,0.134,0.142,0.177
2017,0.23,0.252,0.016,0.251,0.158,0.04,0.269
2018,0.297,0.247,0.024,0.196,0.087,-0.001,0.153
2019,0.193,0.269,0.155,0.324,0.12,0.134,0.251
2021,0.323,0.272,0.157,0.247,0.139,-0.01,0.266
2022,0.315,0.304,0.072,0.223,0.111,-0.038,0.278
2023,0.24,0.21,0.123,0.195,0.081,0.019,0.267
