year,MPO_1st,MPO_2nd,MPO_3rd,MPO_4th,MPO_5th,MPO_T5pct,MPO_All,Hopewell_1st,Hopewell_2nd,Hopewell_3rd,Hopewell_4th,Hopewell_5th,Hopewell_T5pct,Hopewell_All,Petersburg_1st,Petersburg_2nd,Petersburg_3rd,Petersburg_4th,Petersburg_5th,Petersburg_T5pct,Petersburg_All,ColonialHeights_1st,ColonialHeights_2nd,ColonialHeights_3rd,ColonialHeights_4th,ColonialHeights_5th,ColonialHeights_T5pct,ColonialHeights_All,Chesterfield_1st,Chesterfield_2nd,Chesterfield_3rd,Chesterfield_4th,Chesterfield_5th,Chesterfield_T5pct,Chesterfield_All,Dinwiddie_1st,Dinwiddie_2nd,Dinwiddie_3rd,Dinwiddie_4th,Dinwiddie_5th,Dinwiddie_T5pct,Dinwiddie_All,PrinceGeorge_1st,PrinceGeorge_2nd,PrinceGeorge_3rd,PrinceGeorge_4th,PrinceGeorge_5th,PrinceGeorge_T5pct,PrinceGeorge_All
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1899,3838,6304,7346,31004,79209,5233,80,-327,-36,527,-17056,-49977,1121,227,1723,3943,-1937,-5736,-16978,3288,986,2367,4164,7780,-9122,-98079,4577,1442,-314,-3294,-4975,-6104,14009,-2587,3851,3855,4731,89,30349,125887,4983,-175,2038,4252,2409,17681,51084,5414
2008,-1070,3392,7820,9860,27512,67264,6760,-955,-1132,632,5368,3088,15228,405,1154,1618,-42,-2775,-6067,-13685,-655,-258,2206,5157,9235,463,-54952,5771,3281,1895,1075,-383,-2786,-15550,1090,4399,3682,3992,-131,17491,65992,4110,1617,5264,8027,9358,36440,96912,8936
2009,-564,2940,3947,4610,26829,73541,3511,-1290,-1972,771,4435,14059,49954,537,838,1412,-200,-2875,-8776,-3878,-802,-1524,434,3307,3520,7846,-25941,3068,2509,954,801,-1372,10081,42267,1769,683,-3576,-1350,-1477,23635,97782,-1512,-181,627,5537,4697,12187,28686,5491
2010,558,1203,2058,9091,43429,100765,969,-2299,-6190,-5479,-4383,-5882,840,-5900,-1888,-1983,-2578,-7975,3335,3921,-2369,-762,-2525,-10,1353,-24441,-114625,462,-545,-5387,-8514,-8928,-8874,761,-7229,1911,-1014,286,-6163,-8025,21935,551,242,-1565,-968,-1579,-6701,-27022,-510
2011,-1368,-3300,-2342,2576,22723,58775,-4210,-3454,-6602,-7481,-4763,-15015,-27520,-7802,1002,-2525,-1744,-1578,1532,13287,-3612,-2905,-1444,685,-113,-15092,-90933,1375,-1474,-6395,-11811,-12797,-17911,-25807,-10832,-1005,-7722,-11205,-14488,-33589,-64288,-10085,-207,-2543,-2334,-960,11767,21784,-1747
2012,-3230,-3962,-3111,-703,38747,114092,-3846,-3949,-8342,-7676,-5577,2447,27067,-7418,-907,-1264,-2510,-2801,-3766,-1621,-4175,-3214,-5921,-7021,-6419,-12120,-56687,-8552,-1584,-4755,-7265,-8392,-16153,-30653,-6328,-2082,-6410,-7342,-11391,-16377,-3067,-7916,-2453,-4694,-2206,-983,8361,32803,-2139
2013,-24,1863,-564,403,22035,51550,-1778,-5286,-10231,-9634,-7082,-8104,-948,-10271,-1281,-5889,-6441,-6325,-5404,1580,-7695,-3594,-5149,-6424,-7480,-24091,-115099,-6139,-1645,-8132,-10901,-11244,1726,29300,-10294,-608,-7006,-7383,-8297,-7821,10088,-7991,-1931,-2407,813,1958,26583,82301,1582
2014,-3794,-3307,2128,7105,35422,85105,1075,-4299,-8245,-6625,-997,4303,14756,-5933,-2385,-1921,1879,732,12995,44329,1557,-3827,-4362,-2909,-737,-7944,-77285,-2362,-1637,-5030,-6897,-2894,6822,31050,-6293,-916,-7831,-7354,-6887,-3106,17546,-7544,-2201,-3148,-2390,-4044,20094,77453,-2177
2015,-4478,-6586,-6402,-2239,27032,77213,-6969,-3946,-5624,-3512,3729,4720,9251,-2595,-1157,-3798,-872,-3048,18248,55796,-1380,-2580,-5552,-4862,-2554,-18711,-106888,-5811,-1074,-3908,-3859,1810,22558,58276,-3038,2510,-3818,-1493,-229,7963,29432,-1116,240,1407,4163,6434,24998,58835,3605
2016,-1069,-732,-496,7086,55239,133245,-1253,-2990,-5152,-1902,3055,21750,46334,-1962,-936,-2504,944,1917,8183,14055,291,-3533,-2565,-36,2643,15025,-11799,-338,-1914,-3646,-6367,-5240,19564,72276,-5177,-1195,-4414,-538,-513,36681,136219,-180,-1328,-1134,2895,8677,31510,67469,2959
2017,-1216,2050,6212,10662,50217,117390,5871,-3636,-6935,-4531,1142,17880,37480,-3929,1703,1045,6685,4306,22501,54684,6425,-3614,-3689,-1332,5259,31599,12482,-497,-2042,-3138,-1727,5777,26002,43121,-1295,604,651,3147,1050,22865,96385,2669,-1038,2278,8212,13129,61237,152360,8520
2018,-1194,-306,810,7513,68248,188408,-125,-3422,-7837,-4324,2621,19219,66813,-4281,1097,-1796,153,1807,18023,25852,-1803,-3980,-3134,-161,930,5300,-31445,-1075,409,211,-18,5011,32361,73500,836,1504,906,2226,2534,19501,48711,2793,315,970,3898,9007,47153,103386,4122
2019,614,3215,3928,11197,56948,135741,2705,-1700,-1780,1696,9130,47183,124692,1605,-762,-48,4591,9617,32555,71673,5504,-6890,-4837,-2938,816,3967,-41453,-4188,-492,945,3996,8548,32332,74840,5128,1946,1138,3968,13776,75540,190249,4106,-212,1520,8717,13757,67616,158625,8888
2021,-3891,522,4432,13155,49976,111163,2785,-2906,-1620,2157,7091,32399,87153,1704,58,1576,6203,11645,41541,95117,4824,-4653,-1883,-790,98,12869,-17635,-563,-545,1796,4356,8874,37682,67169,5734,2173,4153,5714,8349,25441,46522,5493,-1194,799,5177,12082,58456,118080,4460
2022,-2661,-843,1535,8861,59534,146229,1164,-4185,-3322,-1447,4577,24154,52215,-1335,-1103,-1045,1824,4141,7066,10819,919,-5507,-2359,688,4105,-9727,-96707,387,626,-432,2473,9408,42188,83182,2768,2741,4492,4968,7918,22500,45414,4205,-2144,1315,3341,5726,48423,124323,3846
2023,-2630,-441,-207,5728,39776,93445,-927,-2996,-4595,-2358,966,15212,38945,-2713,-2663,-2632,-2695,-1810,3794,8829,-3963,-4992,-7615,-5844,-1752,-11563,-95961,-3075,-474,-90,376,4366,19870,47140,243,1308,1476,3930,6363,24453,59125,3040,-2225,-2259,785,3413,44416,91562,508
