year,MPO,Chesterfield,ColonialHeights,Dinwiddie,Hopewell,Petersburg,PrinceGeorge
"2013",73433,26338,9871,6705,8046,13190,9283
"2014",73005,25122,9910,6123,8262,12978,10610
"2015",75759,26773,10131,7185,8276,13088,10306
"2016",78099,30243,9681,6889,7263,13496,10527
"2017",78220,29587,9721,6886,8078,13339,10609
"2018",77683,27566,9816,8327,8161,13246,10567
"2019",74776,25742,9711,7380,8166,13526,10251
"2020",71904,26221,8922,7226,7792,11986,9757
"2021",74765,28553,8987,8403,7467,11622,9733
"2022",77171,29421,9291,8972,7549,11932,10006
