year,mpo_ag_for_fish_min,mpo_art_ent_rec_acc_food,mpo_construction,mpo_ed_services,mpo_fin_insur_real_est,mpo_health_social_assist,mpo_information,mpo_manufacturing,mpo_other_services,mpo_prof_services,mpo_gov,mpo_retail_trade,mpo_transp_warehouse_util,mpo_wholesale_trade,hope_ag_for_fish_min,hope_art_ent_rec_acc_food,hope_construction,hope_ed_services,hope_fin_insur_real_est,hope_health_social_assist,hope_information,hope_manufacturing,hope_other_services,hope_prof_services,hope_gov,hope_retail_trade,hope_transp_warehouse_util,hope_wholesale_trade,pet_ag_for_fish_min,pet_art_ent_rec_acc_food,pet_construction,pet_ed_services,pet_fin_insur_real_est,pet_health_social_assist,pet_information,pet_manufacturing,pet_other_services,pet_prof_services,pet_gov,pet_retail_trade,pet_transp_warehouse_util,pet_wholesale_trade,col_ag_for_fish_min,col_art_ent_rec_acc_food,col_construction,col_ed_services,col_fin_insur_real_est,col_health_social_assist,col_information,col_manufacturing,col_other_services,col_prof_services,col_gov,col_retail_trade,col_transp_warehouse_util,col_wholesale_trade,ches_ag_for_fish_min,ches_art_ent_rec_acc_food,ches_construction,ches_ed_services,ches_fin_insur_real_est,ches_health_social_assist,ches_information,ches_manufacturing,ches_other_services,ches_prof_services,ches_gov,ches_retail_trade,ches_transp_warehouse_util,ches_wholesale_trade,din_ag_for_fish_min,din_art_ent_rec_acc_food,din_construction,din_ed_services,din_fin_insur_real_est,din_health_social_assist,din_information,din_manufacturing,din_other_services,din_prof_services,din_gov,din_retail_trade,din_transp_warehouse_util,din_wholesale_trade,pg_ag_for_fish_min,pg_art_ent_rec_acc_food,pg_construction,pg_ed_services,pg_fin_insur_real_est,pg_health_social_assist,pg_information,pg_manufacturing,pg_other_services,pg_prof_services,pg_gov,pg_retail_trade,pg_transp_warehouse_util,pg_wholesale_trade
2001,0.001,0.029,0.042,0.028,0.219,0.078,0.042,0.125,0.024,0.132,0.111,0.066,0.03,0.07,0.023,0.041,0.027,0.204,0.069,0.041,0.109,0.023,0.119,0.152,0.075,0.028,0.078,0.002,0.056,0.013,0.219,0.072,0.038,0.168,0.024,0.13,0.064,0.074,0.031,0.084,0.003,0.033,0.009,0.183,0.07,0.025,0.194,0.028,0.105,0.074,0.091,0.022,0.083,0,0.02,0.04,0.245,0.063,0.032,0.106,0.022,0.096,0.131,0.094,0.007,0.105,0.002,0.03,0.047,0.009,0.097,0.028,0.107,0.028,0.121,0.143,0.075,0.036,0.072,0.007,0.021,0.043,0.008,0.24,0.036,0.184,0.023,0.139,0.062,0.079,0.024,0.088,0.001,0.028,0.047,0.028,0.222,0.101
2002,0.002,0.03,0.041,0.028,0.216,0.082,0.043,0.121,0.025,0.135,0.114,0.066,0.03,0.068,0.024,0.04,0.027,0.213,0.074,0.042,0.097,0.024,0.121,0.154,0.075,0.033,0.074,0.002,0.056,0.013,0.216,0.075,0.038,0.167,0.025,0.132,0.066,0.074,0.029,0.081,0.004,0.034,0.009,0.186,0.072,0.025,0.184,0.03,0.109,0.075,0.088,0.022,0.081,0.006,0.021,0.038,0.25,0.067,0.031,0.1,0.022,0.099,0.137,0.091,0.034,0.099,0.002,0.032,0.047,0.011,0.102,0.029,0.1,0.028,0.12,0.144,0.076,0.033,0.069,0.004,0.022,0.043,0.008,0.236,0.041,0.186,0.024,0.133,0.066,0.079,0.022,0.087,0.001,0.029,0.047,0.027,0.216,0.102
2003,0.002,0.029,0.041,0.029,0.213,0.081,0.045,0.123,0.024,0.136,0.112,0.066,0.03,0.068,0.024,0.04,0.028,0.214,0.074,0.036,0.103,0.023,0.122,0.153,0.075,0.032,0.075,0.002,0.055,0.013,0.216,0.073,0.039,0.169,0.024,0.133,0.065,0.075,0.03,0.081,0.004,0.035,0.009,0.195,0.075,0.03,0.156,0.03,0.112,0.078,0.092,0.023,0.085,0.005,0.02,0.037,0.254,0.068,0.027,0.104,0.021,0.096,0.139,0.095,0.033,0.096,0.001,0.031,0.047,0.011,0.102,0.029,0.098,0.027,0.125,0.143,0.073,0.034,0.071,0.005,0.02,0.042,0.008,0.242,0.039,0.19,0.021,0.129,0.063,0.084,0.019,0.086,0.001,0.029,0.052,0.027,0.214,0.093
2004,0.002,0.028,0.04,0.029,0.208,0.083,0.057,0.114,0.023,0.142,0.112,0.063,0.031,0.069,0.025,0.043,0.023,0.208,0.077,0.035,0.097,0.023,0.132,0.155,0.073,0.034,0.073,0.003,0.051,0.013,0.214,0.075,0.048,0.156,0.023,0.138,0.066,0.072,0.031,0.085,0.004,0.032,0.009,0.197,0.079,0.04,0.136,0.031,0.114,0.079,0.091,0.025,0.092,0.004,0.022,0.041,0.251,0.069,0.028,0.096,0.022,0.102,0.143,0.094,0.034,0.092,0.002,0.031,0.049,0.012,0.108,0.034,0.09,0.025,0.127,0.146,0.072,0.035,0.073,0.008,0.018,0.041,0.008,0.231,0.046,0.186,0.02,0.136,0.061,0.088,0.017,0.084,0.001,0.029,0.048,0.029,0.212,0.098
2005,0.002,0.027,0.041,0.028,0.214,0.082,0.054,0.108,0.023,0.147,0.111,0.062,0.031,0.069,0.024,0.044,0.021,0.216,0.077,0.036,0.093,0.023,0.133,0.153,0.071,0.035,0.07,0.003,0.051,0.013,0.218,0.074,0.051,0.146,0.023,0.146,0.066,0.07,0.03,0.085,0.003,0.03,0.009,0.198,0.079,0.049,0.128,0.03,0.116,0.078,0.089,0.024,0.096,0.003,0.021,0.041,0.259,0.069,0.028,0.092,0.021,0.105,0.144,0.089,0.038,0.086,0.001,0.028,0.05,0.011,0.108,0.034,0.086,0.025,0.131,0.145,0.073,0.036,0.072,0.008,0.018,0.04,0.009,0.238,0.054,0.17,0.02,0.148,0.059,0.083,0.019,0.083,0,0.028,0.047,0.029,0.217,0.099
2006,0.002,0.028,0.043,0.029,0.216,0.084,0.047,0.107,0.023,0.15,0.11,0.061,0.032,0.069,0.025,0.043,0.021,0.219,0.077,0.037,0.093,0.023,0.137,0.149,0.07,0.036,0.068,0.002,0.057,0.014,0.219,0.075,0.045,0.143,0.022,0.149,0.066,0.068,0.032,0.088,0.003,0.029,0.009,0.196,0.08,0.043,0.126,0.029,0.121,0.079,0.087,0.025,0.101,0.003,0.021,0.04,0.262,0.068,0.029,0.092,0.021,0.109,0.142,0.081,0.047,0.081,0.001,0.031,0.049,0.011,0.106,0.034,0.085,0.024,0.136,0.139,0.071,0.031,0.073,0.004,0.018,0.04,0.009,0.245,0.037,0.172,0.019,0.152,0.059,0.088,0.017,0.085,0.001,0.026,0.048,0.03,0.222,0.098
2007,0.002,0.028,0.04,0.028,0.212,0.082,0.067,0.106,0.022,0.152,0.106,0.056,0.025,0.068,0.023,0.041,0.021,0.209,0.077,0.039,0.102,0.022,0.132,0.15,0.067,0.016,0.069,0.002,0.053,0.014,0.219,0.073,0.052,0.137,0.021,0.16,0.066,0.064,0.03,0.086,0.002,0.03,0.01,0.198,0.079,0.055,0.124,0.028,0.12,0.079,0.08,0.025,0.102,0,0.021,0.04,0.253,0.07,0.03,0.093,0.02,0.116,0.146,0.075,0.004,0.082,0.001,0.03,0.045,0.011,0.109,0.037,0.085,0.025,0.139,0.141,0.07,0.03,0.076,0.005,0.02,0.038,0.01,0.234,0.038,0.165,0.019,0.176,0.059,0.082,0.016,0.086,0.001,0.031,0.047,0.03,0.232,0.096
2008,0.001,0.027,0.036,0.029,0.201,0.084,0.088,0.105,0.02,0.157,0.104,0.051,0.03,0.066,0.022,0.039,0.022,0.205,0.079,0.039,0.12,0.021,0.144,0.146,0.063,0.032,0.066,0.002,0.046,0.015,0.214,0.076,0.06,0.132,0.02,0.167,0.067,0.06,0.03,0.087,0.002,0.03,0.01,0.2,0.083,0.065,0.124,0.026,0.121,0.08,0.074,0.025,0.1,0.003,0.019,0.038,0.253,0.074,0.031,0.096,0.019,0.122,0.145,0.072,0.042,0.081,0.002,0.03,0.042,0.012,0.113,0.036,0.082,0.023,0.144,0.142,0.067,0.032,0.073,0.004,0.021,0.036,0.01,0.239,0.047,0.144,0.018,0.185,0.062,0.073,0.016,0.089,0.001,0.03,0.042,0.032,0.232,0.096
2009,0.002,0.028,0.031,0.033,0.201,0.091,0.084,0.096,0.02,0.157,0.11,0.053,0.03,0.064,0.023,0.039,0.025,0.209,0.088,0.041,0.087,0.021,0.146,0.157,0.064,0.032,0.066,0.003,0.037,0.017,0.216,0.081,0.057,0.131,0.02,0.168,0.069,0.062,0.032,0.085,0.002,0.03,0.011,0.204,0.088,0.063,0.127,0.025,0.12,0.081,0.072,0.028,0.094,0.003,0.02,0.035,0.25,0.079,0.031,0.095,0.019,0.126,0.151,0.071,0.037,0.079,0.001,0.03,0.04,0.013,0.123,0.037,0.079,0.023,0.135,0.151,0.067,0.034,0.067,0.007,0.02,0.029,0.011,0.244,0.037,0.141,0.017,0.187,0.065,0.081,0.015,0.086,0.001,0.031,0.037,0.036,0.24,0.101
2010,0.001,0.029,0.031,0.034,0.2,0.089,0.087,0.093,0.019,0.156,0.108,0.052,0.033,0.067,0.023,0.035,0.026,0.21,0.088,0.042,0.09,0.02,0.144,0.155,0.063,0.032,0.069,0.002,0.04,0.017,0.214,0.079,0.057,0.125,0.019,0.169,0.068,0.061,0.036,0.088,0.002,0.031,0.012,0.211,0.086,0.063,0.128,0.024,0.122,0.079,0.069,0.027,0.097,0.002,0.02,0.035,0.251,0.08,0.032,0.088,0.019,0.127,0.152,0.072,0.035,0.082,0.002,0.031,0.036,0.013,0.123,0.039,0.075,0.022,0.134,0.152,0.068,0.035,0.067,0.004,0.02,0.03,0.012,0.25,0.04,0.125,0.017,0.191,0.064,0.081,0.016,0.094,0.001,0.033,0.037,0.035,0.229,0.096
2011,0.001,0.029,0.031,0.034,0.202,0.091,0.086,0.088,0.019,0.159,0.105,0.05,0.033,0.07,0.024,0.033,0.027,0.211,0.09,0.041,0.088,0.02,0.149,0.151,0.063,0.028,0.072,0.001,0.04,0.017,0.218,0.08,0.056,0.117,0.019,0.173,0.066,0.058,0.036,0.093,0.002,0.033,0.012,0.204,0.088,0.059,0.131,0.024,0.124,0.076,0.067,0.03,0.099,0.003,0.021,0.032,0.253,0.081,0.03,0.087,0.018,0.127,0.155,0.069,0.03,0.088,0.002,0.031,0.036,0.012,0.129,0.042,0.074,0.023,0.14,0.146,0.07,0.031,0.062,0.003,0.021,0.029,0.012,0.248,0.047,0.111,0.017,0.202,0.063,0.073,0.016,0.102,0.001,0.036,0.036,0.036,0.23,0.095
2012,0.001,0.03,0.03,0.033,0.209,0.089,0.091,0.074,0.019,0.16,0.099,0.049,0.032,0.071,0.024,0.034,0.026,0.232,0.089,0.038,0.085,0.019,0.149,0.142,0.061,0.026,0.072,0.001,0.037,0.017,0.222,0.079,0.054,0.091,0.02,0.178,0.063,0.055,0.036,0.095,0.001,0.032,0.013,0.199,0.09,0.056,0,0.026,0.125,0.076,0.066,0.032,0.098,0.003,0.022,0.034,0.263,0.083,0.028,0.078,0.018,0.131,0.15,0.068,0.027,0.09,0.002,0.032,0.036,0.013,0.129,0.039,0.074,0.022,0.14,0.143,0.069,0.032,0.06,0.002,0.022,0.029,0.012,0.259,0.057,0.098,0.016,0.2,0.06,0.065,0.016,0.107,0.001,0.035,0.035,0.034,0.236,0.089
2013,0.002,0.03,0.03,0.032,0.204,0.088,0.099,0.087,0.019,0.155,0.101,0.05,0.031,0.071,0.024,0.036,0.027,0.224,0.09,0.041,0.077,0.019,0.141,0.145,0.064,0.025,0.073,0.003,0.036,0.017,0.217,0.078,0.058,0.122,0.02,0.174,0.064,0.056,0.036,0.095,0.002,0.033,0.013,0.193,0.092,0.056,0.138,0.026,0.122,0.076,0.066,0.031,0.097,0.002,0.021,0.037,0.265,0.087,0.029,0.079,0.018,0.121,0.151,0.069,0.027,0.088,0.002,0.033,0.036,0.012,0.129,0.042,0.072,0.022,0.141,0.146,0.072,0.029,0.059,0.01,0.021,0.028,0.01,0.259,0.066,0.092,0.016,0.192,0.061,0.07,0.015,0.105,0.001,0.032,0.036,0.035,0.229,0.086
