year,MPO_OwnAbove,MPO_RentAbove,MPO_OwnBelow,MPO_RentBelow,Hopewell_OwnAbove,Hopewell_RentAbove,Hopewell_OwnBelow,Hopewell_RentBelow,Petersburg_OwnAbove,Petersburg_RentAbove,Petersburg_OwnBelow,Petersburg_RentBelow,ColonialHeights_OwnAbove,ColonialHeights_RentAbove,ColonialHeights_OwnBelow,ColonialHeights_RentBelow,Chesterfield_OwnAbove,Chesterfield_RentAbove,Chesterfield_OwnBelow,Chesterfield_RentBelow,Dinwiddie_OwnAbove,Dinwiddie_RentAbove,Dinwiddie_OwnBelow,Dinwiddie_RentBelow,PrinceGeorge_OwnAbove,PrinceGeorge_RentAbove,PrinceGeorge_OwnBelow,PrinceGeorge_RentBelow,CoreCity_OwnAbove,CoreCity_RentAbove,CoreCity_OwnBelow,CoreCity_RentBelow,DevelopedCommunity_OwnAbove,DevelopedCommunity_RentAbove,DevelopedCommunity_OwnBelow,DevelopedCommunity_RentBelow,GrowingSuburb_OwnAbove,GrowingSuburb_RentAbove,GrowingSuburb_OwnBelow,GrowingSuburb_RentBelow,RuralArea_OwnAbove,RuralArea_RentAbove,RuralArea_OwnBelow,RuralArea_RentBelow
2005,9.59,38.71,437.73,295.64,978.65,279.89,1.89,8.47,137.02,71.77,289.85,71.17,3.31,13.25,200.03,97.37,473.23,107.42,1.97,3.81,55.45,24.1,119.02,23.28,0.67,3.24,38.86,16.35,8.71,157.3,76.74,274.98,69.5,2.27,12.1,217.59,95.65,470.5,109.32,0.4,2.18,62.19,22.14,117.57
2006,10.06,42.48,475.86,282.77,953.84,270.72,1.38,8.5,158.64,69.87,270.85,69.99,2.87,12.93,213.1,93.29,470.2,110.09,0.72,2.49,56.66,24.21,118.79,24.44,0.31,2.77,50.03,16.83,9.6,156.96,75.53,271.63,71.39,2.64,9.8,211.93,102.39,467.63,116.37,0.56,2.2,56.1,22.97,119.82
2007,7.41,38.18,483.96,292.06,955.39,281.12,1.08,8.71,157.3,76.74,274.98,69.5,2.27,12.1,217.59,95.65,470.5,109.32,0.4,2.18,62.19,22.14,117.57,23.44,0.26,2.29,44.82,18.15,8.55,160.71,76.53,266.36,73.08,2.05,13.4,211.9,100.79,470.74,104.96,0.38,2.87,58.82,21.21,118.76
2008,8.79,40.57,474.27,303.48,954.56,294.11,1.67,9.6,156.96,75.53,271.63,71.39,2.64,9.8,211.93,102.39,467.63,116.37,0.56,2.2,56.1,22.97,119.82,25.57,0.42,2.79,48.98,15.57,9.69,163.09,85.67,264.38,65.33,2.22,13.81,216.95,109.96,470.6,112.76,0.74,1.99,59.92,26.67,119.21
2009,8.82,44.68,473.48,307.2,942.77,283.9,1.93,8.55,160.71,76.53,266.36,73.08,2.05,13.4,211.9,100.79,470.74,104.96,0.38,2.87,58.82,21.21,118.76,21.84,0.58,2.22,47.35,17.7,7.96,157.67,84.27,261.92,71.27,3.6,12.48,222.4,123.25,452.98,112.76,1.06,2.85,62.09,28.1,114.44
2010,11.68,49.2,482.3,335.99,936.53,276.15,1.99,9.69,163.09,85.67,264.38,65.33,2.22,13.81,216.95,109.96,470.6,112.76,0.74,1.99,59.92,26.67,119.21,18.87,0.52,1.88,45.4,17.98,9.32,148.96,86.85,272.79,66.86,3.98,14.2,201.82,115.5,476.63,116.97,1.27,2.27,56.11,24.21,122.72
2011,11.19,42.71,485.68,348.67,914.87,285.72,1.87,7.96,157.67,84.27,261.92,71.27,3.6,12.48,222.4,123.25,452.98,112.76,1.06,2.85,62.09,28.1,114.44,23.68,0.81,1.93,46.7,20.01,9.43,136.35,85.84,276,73.31,3.7,13.74,190.14,119.45,478.9,117.76,0.51,2.45,52.53,28.22,121.99
2012,10.04,48.09,443.82,346.26,955.09,292.67,2.2,9.32,148.96,86.85,272.79,66.86,3.98,14.2,201.82,115.5,476.63,116.97,1.27,2.27,56.11,24.21,122.72,25.05,0.52,2.43,43.3,17.99,9.03,130.19,90.09,282.02,74.48,2.51,14.75,185.27,123.99,491.6,114.15,0.58,3.34,48.81,29.67,124.64
2013,10.58,49.56,417.98,354.5,956.19,300.93,2.58,9.43,136.35,85.84,276,73.31,3.7,13.74,190.14,119.45,478.9,117.76,0.51,2.45,52.53,28.22,121.99,26.1,0.63,1.8,40.46,16.66,11.15,130.68,87.95,272.44,76.15,3.21,11.92,178.34,117.57,504.61,120.22,0.67,2.08,49.46,27.41,126.19
2014,11.1,46.5,412.58,360.39,972.02,296.91,3.56,9.03,130.19,90.09,282.02,74.48,2.51,14.75,185.27,123.99,491.6,114.15,0.58,3.34,48.81,29.67,124.64,25.61,0.38,1.99,37.93,20.6,9.65,122.22,83.31,290.21,77.39,4.26,14.93,166.99,119.85,506.98,125.93,1.18,3.11,47.12,25.56,130.88
