year,MPO_0.0-9.9%,MPO_10.0-14.9%,MPO_15.0-19.9%,MPO_20.0-24.9%,MPO_25.0-29.9%,MPO_30.0-34.9%,MPO_35.0-39.9%,MPO_40.0-49.9%,MPO_50%+,Hopewell_0.0-9.9%,Hopewell_10.0-14.9%,Hopewell_15.0-19.9%,Hopewell_20.0-24.9%,Hopewell_25.0-29.9%,Hopewell_30.0-34.9%,Hopewell_35.0-39.9%,Hopewell_40.0-49.9%,Hopewell_50%+,Petersburg_0.0-9.9%,Petersburg_10.0-14.9%,Petersburg_15.0-19.9%,Petersburg_20.0-24.9%,Petersburg_25.0-29.9%,Petersburg_30.0-34.9%,Petersburg_35.0-39.9%,Petersburg_40.0-49.9%,Petersburg_50%+,ColonialHeights_0.0-9.9%,ColonialHeights_10.0-14.9%,ColonialHeights_15.0-19.9%,ColonialHeights_20.0-24.9%,ColonialHeights_25.0-29.9%,ColonialHeights_30.0-34.9%,ColonialHeights_35.0-39.9%,ColonialHeights_40.0-49.9%,ColonialHeights_50%+,Chesterfield_0.0-9.9%,Chesterfield_10.0-14.9%,Chesterfield_15.0-19.9%,Chesterfield_20.0-24.9%,Chesterfield_25.0-29.9%,Chesterfield_30.0-34.9%,Chesterfield_35.0-39.9%,Chesterfield_40.0-49.9%,Chesterfield_50%+,Dinwiddie_0.0-9.9%,Dinwiddie_10.0-14.9%,Dinwiddie_15.0-19.9%,Dinwiddie_20.0-24.9%,Dinwiddie_25.0-29.9%,Dinwiddie_30.0-34.9%,Dinwiddie_35.0-39.9%,Dinwiddie_40.0-49.9%,Dinwiddie_50%+,PrinceGeorge_0.0-9.9%,PrinceGeorge_10.0-14.9%,PrinceGeorge_15.0-19.9%,PrinceGeorge_20.0-24.9%,PrinceGeorge_25.0-29.9%,PrinceGeorge_30.0-34.9%,PrinceGeorge_35.0-39.9%,PrinceGeorge_40.0-49.9%,PrinceGeorge_50%+,CoreCity_0.0-9.9%,CoreCity_10.0-14.9%,CoreCity_15.0-19.9%,CoreCity_20.0-24.9%,CoreCity_25.0-29.9%,CoreCity_30.0-34.9%,CoreCity_35.0-39.9%,CoreCity_40.0-49.9%,CoreCity_50%+,DevelopedCommunity_0.0-9.9%,DevelopedCommunity_10.0-14.9%,DevelopedCommunity_15.0-19.9%,DevelopedCommunity_20.0-24.9%,DevelopedCommunity_25.0-29.9%,DevelopedCommunity_30.0-34.9%,DevelopedCommunity_35.0-39.9%,DevelopedCommunity_40.0-49.9%,DevelopedCommunity_50%+,GrowingSuburb_0.0-9.9%,GrowingSuburb_10.0-14.9%,GrowingSuburb_15.0-19.9%,GrowingSuburb_20.0-24.9%,GrowingSuburb_25.0-29.9%,GrowingSuburb_30.0-34.9%,GrowingSuburb_35.0-39.9%,GrowingSuburb_40.0-49.9%,GrowingSuburb_50%+,RuralArea_0.0-9.9%,RuralArea_10.0-14.9%,RuralArea_15.0-19.9%,RuralArea_20.0-24.9%,RuralArea_25.0-29.9%,RuralArea_30.0-34.9%,RuralArea_35.0-39.9%,RuralArea_40.0-49.9%,RuralArea_50%+
2005,194.37,243.65,307.01,283.13,230.39,158.15,106.36,137.17,331.681,48.304,44.51,69.34,89.27,88.55,69.35,49.76,32.33,40.24,86.463,10.356,88.85,112.88,146.5,131.06,101.37,72.33,45.12,59.08,120.874,16.564,19.23,26.77,33.95,34.64,27.7,19.67,13.54,16.59,29.73,5.787,12.55,21.91,26.69,23.96,19.83,13.84,9.44,11.18,20.735,3.905,14.53,22.03,28.23,28.92,20,16.47,9.86,16.28,31.662,2.67,17.81,21.67,28.17,25.5,19.17,14.27,8.62,9.75,22.952,3.523,20.64,25.53,32.26,28.89,22.8,15.97,10.69,12.9,29.564,4.069,8.16,9.78,15.19,17.77,12.97,8.85,5.43,5.04,13.923,1.241,9.27,15.62,19.16,17.9,16.54,10.6,7.6,7.75,20.143
2006,179.64,243.61,297.22,279.82,224.26,160.88,121.05,149.05,327.648,52.536,39.95,65.04,85.82,83.15,66.89,53.83,39.24,46.56,88.875,9.871,84.78,115.74,140.95,134.66,104.14,70.42,50.59,62.61,122.771,15.796,20.05,26.24,36.17,33.64,27.14,19.64,14.93,16.39,29.919,3.211,9.59,17.39,24.86,24.43,17.02,17.18,12.74,14.72,22.226,3.07,13.12,20.66,29.68,26.27,21.93,17.27,13.05,13.98,30.895,2.65,19.48,23.56,27.96,25.21,19.03,12.52,9.81,11.8,20.477,3.184,17.8,25.62,28.2,32.72,23.95,14.55,10.35,13.43,33.657,4.291,7.1,11.24,13.8,15.34,13.31,8.86,6.46,7.61,13.786,1.762,10.13,15.75,17.48,17.1,14.63,10.52,7,10.26,21.968
2007,197.64,234.51,293.27,274.51,236.57,172.78,115.92,152.02,335.305,45.593,43.28,64.8,86.54,79.18,70.68,57.22,37.9,47.4,91.521,9.792,95.49,108.3,138.03,129.41,108.59,73.22,50.46,64.35,125.213,14.36,21.94,25.34,33.57,31.06,29.1,20.4,13.03,17.22,33.675,2.576,11.33,19.56,24.72,24.4,20.65,14.88,11.26,14.52,22.295,2.551,12.93,19.86,27.3,26.23,22.73,20.25,11.98,15.68,33.815,3.297,20.03,20.81,28.58,26.68,21.27,12.44,10.5,11.1,21.609,2.356,18.59,24.74,29.35,30.4,23.38,16.32,11.72,13.55,32.874,4.482,7.31,11.6,16.17,13.24,11.16,9.51,6.26,6.85,16.345,1.59,11.71,13.78,18.35,15.3,16.14,12.57,8.4,10.35,19.066
2008,190.05,250.43,296.66,288.26,223.26,169.11,117.99,147.75,342.905,49.364,38.63,68.26,82.38,85.16,68.57,50.39,38.83,47.21,96.05,11.26,95.29,116.13,140.72,129.95,101.92,79.03,50.03,61.03,124.231,12.436,22.12,26.41,35.5,34.19,27.16,20.11,13.66,14.94,30.367,2.762,11.3,18.99,21.91,24.19,21.03,13.96,10.92,14.44,25.238,3.207,11.8,21.79,28.29,26.35,21.61,15.7,12.94,15.12,35.439,2.629,19.35,20.7,28.59,25.35,20.02,16.11,10.62,12.26,21.837,1.787,20.78,27.15,30,28.39,20.72,17.15,10.83,14.91,32.21,3.441,5.86,10.82,13.71,15.64,12.15,10.8,6.92,7.7,15.811,2.59,9.68,16.66,18.47,18.98,13.78,9.93,8.06,9.95,19.562
2009,188.87,232.88,294.75,282.24,227.92,172.04,117.04,148.63,342.952,53.503,40.07,56.87,85.59,86.14,70.78,55.58,38.46,47.28,95.927,10.472,93.1,112.73,136.75,130.01,103.12,75.41,50.88,62.52,123.882,15.442,23.15,24.31,32.41,32.5,28.23,19.4,14.42,16.26,29.924,3.244,10.26,17.27,24.35,26.05,20.99,15.21,10.12,13.05,26.67,2.798,14.73,16.42,27.14,26.9,24.07,17.47,13.15,16.99,32.244,3.632,19.86,22.58,26.9,27.08,20.09,14.64,9.74,11.58,22.949,3.425,20.19,26.04,30.14,24.96,21.8,17.4,10.01,14.81,32.763,3.81,5.9,8.76,15.99,16.06,12.07,12.16,6.98,7.19,14.883,1.727,9.18,14.4,18.11,17.13,13.64,10.74,8.21,10.05,22.13
2010,181.58,230.79,293.88,272.6,233.84,172.1,118.68,150.07,377.446,60.877,37.38,63.68,82.67,78.8,67.17,54.74,37.82,46.42,109.779,11.68,89.97,110.25,139.73,132.19,111.22,73.28,50.53,64.47,138.629,16.035,21.28,24.77,30.91,33.67,27.45,22.2,15.02,15.52,33.839,2.733,11.67,18.15,24.26,25.81,18.31,16.36,9.07,12.87,25.059,2.396,12.29,17.22,24.98,21.78,21.01,15.96,13.2,16.86,41.534,5.064,19.54,22.35,28.24,27.46,22.87,13.91,9.45,11.71,24.919,3.711,18.46,22.67,30.32,28.71,24.29,14.9,10.18,15.99,35.763,5.239,4.76,12.52,14.4,14.56,12.19,11.04,6.87,8.34,18.704,1.397,8.66,15.79,19.03,16.65,15.66,11.37,8.69,8.35,24.482
2011,180.77,231.12,282.61,281.12,224.96,165.27,123.64,158.82,386.628,53.901,37.66,61.78,85.9,80.24,67.6,51.72,39.21,46.33,104.678,9.821,89.61,109.91,133.32,133.15,99.75,74.79,53.82,70.84,146.199,16.08,19.91,26.93,30.41,36.52,24.36,20.61,14.55,18.42,36.593,3.911,11.52,17.88,25.56,22.98,17.37,15.04,10.87,14,26.793,2.741,9.14,18.01,24.62,25.98,20.97,16.25,13.87,13.68,39.72,3.451,17.62,22.58,27.95,27.52,20.47,15.08,11.56,11.79,26.874,2.796,19.69,23.47,27.98,25.95,21.83,15.18,12.53,17.46,37.133,3.338,7.41,10.49,17.79,12.87,13.2,9.54,6.53,9.04,15.39,1.461,9.59,15.39,17.93,18.4,16.06,10.89,7.94,9.6,22.775
2012,197.75,240.17,299.4,286.69,223.76,163.61,111.23,150.72,364.518,58.13,44.08,61.17,83.61,85.59,65.21,51.01,35.36,47.45,101.986,11.514,96.78,118.92,144.13,132.21,101.57,71.66,47.07,61.49,137.1,18.176,22.83,27.01,33.98,35.63,28.32,19.73,13.13,15.6,31.853,3.533,12.8,17.53,23.85,27.18,19.22,14.82,8.76,12.74,24.973,2.953,12.39,18.79,25.64,22.42,20.37,15.82,10.43,16.42,39.5,3.696,20,25.13,30.54,24.66,18.55,14.69,9.67,11.25,25.75,4.348,20.27,27.35,29.52,26.58,19.72,14.2,10.4,15.57,36.162,4.338,7.93,10.68,16.17,18.39,10.61,9.18,7.16,6.98,15.8,1.807,10.97,14.18,17.95,17.6,15,11.2,9.01,11.32,21.713
2013,213.61,253.46,300.16,270.64,219.24,152.07,107.15,146.02,367.236,60.142,44.18,70.02,82.84,86.35,65.93,46.78,34.16,43.43,97.802,12.01,113.57,118.98,143.88,124.48,95.75,65.7,45.32,59.38,139.197,17.437,26.55,30.96,34.84,30.57,25.18,17.98,11.58,17.9,33.261,2.96,14.19,19.59,23.27,25.35,20.3,12.87,9.33,11.95,22.969,2.424,12.71,20.54,24.34,26.18,20.06,16.3,10.55,14.02,37.083,3.972,25.14,23.24,31.91,24.1,17.38,14.01,8.43,11.13,27.604,3.486,21.6,24.93,28.93,29.38,20.26,14.89,11.17,11.46,32.429,4.638,7.62,13.97,16.39,17.09,9.77,7.94,6.27,7.18,15.964,1.657,9.65,15.91,18.83,17.73,15.8,9.66,8.01,10.28,21.786
2014,222.71,266.94,307.81,269.3,202.16,155.82,111.82,142.73,362.603,57.593,50.08,74.19,91.44,82.34,58.46,46.97,32.74,41.16,99.384,12.586,112.94,129.5,143.35,128.77,91.19,67.57,46.65,59.36,135.675,17.257,29.61,32.71,33.14,31.8,22.98,17.78,11.09,15.08,34.54,3.91,13.49,22.11,29.44,23.41,16.08,11.68,8.84,12.68,25.32,2.374,14.09,21.4,28.79,25.82,19.94,16.39,9.68,11.81,34.664,5.485,23.32,28.17,30.48,26.81,17.13,11.84,9.4,10.73,25.911,2.355,21.83,26.47,29.75,28.24,20.31,14.93,10.53,13.08,34.487,4.965,9.89,14.75,15.87,15.95,9.88,7.49,7.22,6.55,15.04,1.682,12.62,15.93,17.34,17.15,12.56,11.42,7.01,10.12,24.36
2015,228.79,278.6,307.15,271.96,210.19,154.18,108.12,134.55,350.231,54.142,44.16,73.77,84.78,82.6,63.29,48.4,33.96,41.47,94.799,13.235,119.09,134.82,150.54,125.19,95.19,65.61,44.98,55.72,129.582,15.133,28.43,33.42,36.59,29.58,26.56,18.01,11.43,13.72,33.721,2.745,12.72,20.47,25.54,22.5,16.75,13.17,10.78,11.63,27.214,2.726,14.74,22.68,25.9,26.12,18.63,16.93,10.2,12.6,32.265,5.058,26.03,28.02,31.39,26.09,19.25,12.27,8.56,11.06,22.977,2.478,24.7,27.21,31.86,27.18,19.57,14.48,9.72,13.21,30.529,4.753,7.04,12.98,15.2,16.41,12.78,7.79,6.23,8.06,15.484,1.906,9.67,17.65,18.15,17.57,15.12,10.51,6.75,9.18,19.836
2016,233.41,285.25,325.46,273.59,209.54,141.65,100.41,133.11,332.685,69.202,51.32,77.39,90.64,84.29,63.97,44.58,30.99,39.68,90.287,12.006,117.77,136.03,157.52,128.06,93.53,61.35,43.09,56.49,125.928,19.183,27.56,31.63,39.28,32.33,26.36,15.67,11.41,13.2,32.396,4.295,15.93,22.68,26.7,26.21,17.93,12.24,8.82,11.79,21.099,2.452,15.22,23.86,28.1,25.54,18.47,14.35,10.12,13.16,31.953,4.735,24.05,28.38,31.68,26.84,18.74,11.17,8.63,11.62,22.319,3.768,25.62,29.95,32.34,27.33,17.96,14.55,9.71,13.59,28.192,5.948,7.88,14.22,18.72,14.89,11.05,8.25,5.57,6.38,16.469,2.014,12.29,16.63,17.11,17.64,16.52,9.74,6.49,8.35,20.766
2017,255.7,300.87,327.6,270.08,199.94,150.79,95.3,118.94,324.236,100.94,52.03,79.89,97.82,81.85,63.48,45.7,29.76,35.79,90.692,11.839,133.64,149.92,154.81,130.37,85.13,66.63,41.19,51.67,119.056,16.971,32.45,38.98,37.47,30.95,20.99,17.79,10.95,13.7,32.242,4.154,16.17,24.63,27.2,22.43,17.96,12.59,8.76,10.66,21.682,2.169,13.92,24.1,32.28,26.38,19.75,14.31,9.71,11.65,34.439,4.084,27.05,29.89,32.62,27.3,17.99,13.32,7.85,9.19,21.446,2.853,27.64,32.41,32.99,27.74,18.06,13.09,8.53,11.69,28.136,5.188,9.28,14.14,19.8,14.55,12.86,9.3,5.37,6.43,12.186,1.329,12.67,17.02,18.54,18.5,12.91,9.5,5.93,7.05,22.385
2018,266.31,301.86,335.09,276.31,207.31,149.31,96.71,126.32,337.729,54.772,56.17,78.95,91.19,86.49,64.17,43.23,30.29,39.29,89.682,10.472,135.47,147.09,163.19,126.07,89.06,63.92,42.4,48.96,121.209,16.18,34.96,34.28,41.7,29.33,24.22,15.66,9.74,13.4,32.489,4.185,16.58,24.09,28.62,24.97,17.34,12.93,7.27,11.05,21.633,2.227,17.4,23.76,27.25,24.44,19.13,15.27,11.23,12.58,33.795,3.977,29.32,30.59,34.38,27.02,17.92,12.12,8.07,9.56,20.558,3.205,26.54,29.88,32.35,28.95,19.76,16.04,10.04,10.82,28.981,4.122,8.31,15.9,16.67,16.6,11.1,6.3,4.38,7.42,13.345,1.397,13.88,15.2,18.65,20.48,16.6,8.73,7.41,8.25,20.909
2019,299.17,311.1,343.15,276.89,202.74,142.66,104.02,124.77,326.921,48.11,64.04,81.09,98.36,89.17,60.3,42.55,27.79,35.82,86.307,9.996,153.48,151.75,164.17,124.23,87.09,57.94,43.18,49.16,117.06,16.55,36.55,34.14,39.34,35.09,21.79,16.09,11.29,13.85,28.605,3.763,19.69,24.66,25.39,28.43,17.31,11.78,8.28,11.99,19.777,2.765,20.6,23.49,31.78,24.15,19.85,14.46,9.38,10.72,29.928,3.419,33.38,33.07,32.95,23.64,17.06,11.65,7.82,8.83,20.922,3.921,33.18,33.04,32.75,24.53,18.16,12.14,10.72,12.49,28.567,3.931,11.28,16.77,18.83,16.31,11.46,6.55,4.24,5.96,13.862,1.459,12.47,16.17,22.37,20.28,11.68,9.76,5.89,7.14,22.74
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,336.25,348.97,353.36,276.96,203.55,144.59,92.8,129.69,352.254,61.688,74.06,95.59,99.34,82.43,65.37,42.82,29.85,37.75,93.162,13.124,172.83,164.27,168.57,125.07,82.6,58.03,37.06,50.57,126.674,20.031,45.95,37.36,43.05,30.94,21.4,15.19,8.87,10.78,29.802,4.782,22.55,29.68,27.51,22.29,18.72,9.61,7.84,9.77,24.309,3.585,21.47,27.53,31.69,26.27,18.03,16.27,9.98,11.5,34.091,4.346,35.54,32.68,36.72,27.05,19.09,10.18,7.12,9.29,22.517,3.86,33.99,35.95,32.99,24.64,17.1,13.69,8.77,13.34,33.12,4.703,12.68,17.15,19.42,16.03,13.07,6.61,5.14,6.15,14.835,1.404,17.36,21.23,20.72,17.85,15.54,10.34,6.88,10.34,19.927
2022,336.61,353.14,352.33,278.22,204.26,135.05,111.81,142.5,363.18,61.837,77.83,95.87,99.22,82.38,59.6,40.51,30.59,41.06,96.851,12.719,165.28,164.01,158.75,127.75,88.87,59.48,45.88,55.07,125.117,16.79,40.83,39.25,42.08,33.52,22.9,14.48,12.68,11.82,28.872,4.341,24.37,28.84,28.64,22.88,16.05,9.57,8.73,11,23.015,3.231,23.94,27.69,29.43,29.26,18.76,13.7,9.94,12.67,33.642,4.507,34,34.6,34.03,26.47,19.51,11.95,7.43,10.19,22.999,3.127,31.35,30.85,32.03,28.49,17.57,15.48,10.75,13.97,32.393,3.802,11.85,17.88,19.58,15.84,10.49,7.43,4.6,7.72,15.278,1.112,17.67,21.45,21.57,14.4,14.3,9.81,7.32,9.68,24.916
2023,332.29,348.76,348.46,285.36,208.34,151.51,99.48,135.35,369.061,59.033,78.55,93.56,99.24,80.24,61.58,43.29,31.3,41.96,95.595,15.49,166.73,168.83,157.7,127.45,86.66,60.42,37.95,50.55,134.953,17.475,41.81,42.25,39.26,35.14,19.32,16.61,9.43,11.18,30.288,3.911,26.38,25.97,27.39,22.72,17.58,12.98,9.32,10.19,24.118,2.824,21.31,30.3,31.06,23.35,20.75,14.5,8.3,14.42,33.183,4.508,34.48,37.02,32.67,25.22,21.07,11.26,8.03,10.06,22.614,3.002,33.62,32.95,31.86,24.27,20.45,12.91,7.85,13.18,33.775,4.774,13.43,16.95,17.85,17.04,9.28,8.26,5.95,6.96,14.765,2.906,17.43,20.33,22.94,17.13,13.97,7.56,7.72,10.39,23.529
