year,MPO,Hopewell,Petersburg,Colonial Heights,Chesterfield,Dinwiddie,Prince George
2005,3.4,3.5,3,4.3,4.4,4.1,3.6
2006,3.8,3.7,3.4,4.8,4.7,4.2,3.9
2007,3.8,3.8,3.3,4.6,4.6,4.1,3.8
2008,3.7,3.8,3.5,4.4,4.4,4,3.8
2009,3.6,3.7,3.4,4.4,4.2,4.1,3.8
2010,3.6,3.8,3.3,4.1,4.3,3.9,4.1
2011,3.4,3.7,3.1,3.8,4.4,4.1,3.9
2012,3.2,3.3,3,4,4,3.9,3.8
2013,3.2,3.3,2.9,3.9,4.1,3.8,3.5
2014,3,3.1,2.6,3.6,4,3.8,3.6
2015,3.3,3,2.7,3.9,4,3.7,3.5
2016,3.1,3,2.7,3.7,4,3.8,3.5
2017,2.8,3,2.6,3.7,3.9,3.7,3.3
2018,3,2.9,2.7,3.6,3.8,3.7,3.5
2019,3,2.8,2.5,3.7,3.7,3.7,3.2
2021,3.1,3.1,2.8,3.6,3.8,3.8,3.6
2022,3.3,3.3,3,3.6,4.1,3.9,3.8
2023,3.5,3.5,3.3,4.1,4.2,4,4
