year,region_total,region_wagesalary,region_proprietors,hw_total,hw_wagesalary,hw_proprietors,pe_total,pe_wagesalary,pe_proprietors,co_total,co_wagesalary,co_proprietors,che_total,che_wagesalary,che_proprietors,din_total,din_wagesalary,din_proprietors,pg_total,pg_wagesalary,pg_proprietors,Value
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Annual
2002,0.001,-0.003,0.028,0.013,0.009,0.033,0,-0.004,0.022,0.009,0.006,0.023,0.019,0.015,0.037,0.007,0.004,0.027,0.002,-0.004,0.032,0.024,Annual
2003,0.005,-0.002,0.048,0.019,0.015,0.048,0.001,-0.007,0.043,0.011,0.003,0.048,0.026,0.02,0.063,0.01,0.006,0.034,0.01,0.001,0.05,0.04,Annual
2004,0.013,0.004,0.064,0.026,0.019,0.071,0.019,0.01,0.062,0.025,0.015,0.066,0.027,0.019,0.072,0.027,0.019,0.069,0.027,0.019,0.066,0.034,Annual
2005,0.018,0.011,0.057,0.019,0.012,0.056,0.02,0.014,0.05,0.03,0.026,0.047,0.024,0.018,0.057,0.015,0.008,0.052,0.039,0.033,0.062,0.041,Annual
2006,0.016,0.01,0.048,0.018,0.014,0.038,0.018,0.012,0.043,0.017,0.012,0.039,0.021,0.017,0.042,0.008,0.002,0.039,0.029,0.024,0.052,0.022,Annual
2007,0.014,0.002,0.075,0.004,-0.008,0.063,0.022,0.011,0.071,0.021,0.009,0.068,0.006,-0.005,0.057,0.004,-0.008,0.063,0.035,0.025,0.077,0.01,Annual
2008,0.004,0,0.025,-0.002,-0.005,0.01,0.006,0.001,0.027,-0.008,-0.014,0.012,-0.007,-0.011,0.014,-0.005,-0.008,0.009,0.013,0.01,0.026,0.001,Annual
2009,-0.023,-0.033,0.024,-0.027,-0.035,0.013,-0.026,-0.039,0.026,-0.03,-0.044,0.02,-0.018,-0.025,0.013,-0.039,-0.048,0.004,-0.02,-0.032,0.028,-0.024,Annual
2010,0,-0.004,0.02,-0.01,-0.013,0.001,-0.001,-0.006,0.015,0.002,-0.001,0.011,-0.016,-0.018,-0.008,-0.012,-0.014,-0.004,0,-0.003,0.011,-0.022,Annual
2011,0.011,0.003,0.049,0.005,-0.005,0.046,0.013,0.006,0.04,0.008,0,0.038,0.006,-0.001,0.036,0.001,-0.009,0.043,0.014,0.01,0.029,-0.004,Annual
2012,0.007,0.008,0.005,0.005,0.007,-0.004,0.008,0.011,-0.001,-0.003,-0.004,-0.002,0.013,0.019,-0.009,-0.003,-0.002,-0.006,0.006,0.007,0.003,0.003,Annual
2013,0.013,0.009,0.034,0.011,0.006,0.029,0.015,0.011,0.031,0.009,0.002,0.033,0.001,-0.005,0.028,0.014,0.013,0.017,0.018,0.015,0.027,0.019,Annual
2014,0.017,0.014,0.03,0.015,0.013,0.024,0.016,0.014,0.022,0.017,0.014,0.027,0.008,0.005,0.02,0.017,0.014,0.027,0.013,0.012,0.016,0.019,Annual
2015,0.016,0.013,0.029,0.016,0.015,0.019,0.015,0.011,0.028,0.015,0.013,0.023,0.023,0.023,0.02,0.007,0.002,0.027,0.017,0.015,0.026,0.025,Annual
2016,0.024,0.02,0.041,0.024,0.026,0.017,0.021,0.016,0.038,0.021,0.018,0.03,0.021,0.019,0.029,0.022,0.026,0.005,0.028,0.023,0.046,0.035,Annual
2017,0.015,0.015,0.015,0.013,0.014,0.007,0.013,0.016,0.002,0.012,0.018,-0.006,0.018,0.021,0.006,0.013,0.014,0.006,0.006,0.006,0.005,0.023,Annual
2018,0.018,0.013,0.036,0.013,0.008,0.037,0.013,0.009,0.028,0.015,0.012,0.023,-0.005,-0.015,0.036,0.013,0.006,0.042,0.011,0.005,0.032,0.029,Annual
2019,0.007,0.016,-0.027,0.008,0.015,-0.018,0.001,0.015,-0.047,-0.006,0.01,-0.053,-0.008,0.002,-0.045,0.006,0.004,0.011,-0.004,0.009,-0.049,0.017,Annual
2020,-0.043,-0.07,0.063,-0.037,-0.063,0.072,-0.041,-0.072,0.068,-0.05,-0.089,0.075,-0.028,-0.054,0.079,-0.055,-0.086,0.063,-0.034,-0.064,0.07,-0.031,Annual
2021,0.041,0.033,0.069,0.047,0.039,0.074,0.045,0.04,0.063,0.043,0.041,0.047,0.05,0.045,0.067,0.05,0.037,0.094,0.042,0.034,0.067,0.061,Annual
2022,0.054,0.048,0.073,0.056,0.05,0.074,0.051,0.042,0.077,0.057,0.05,0.075,0.048,0.04,0.076,0.057,0.051,0.074,0.049,0.04,0.078,0.075,Annual
2001,3107690,2696910,410780,854853,735272,119581,1481438,1247626,233812,323689,265542,58147,239501,204803,34698,253103,216280,36823,283391,235857,47534,114679,Total
2002,3112332,2690123,422209,865780,742246,123534,1481170,1242240,238930,326646,267189,59457,243947,207952,35995,254952,217153,37799,283950,234874,49076,117419,Total
2003,3126901,2684242,442659,882564,753042,129522,1482608,1233520,249088,330197,267897,62300,250315,212036,38279,257468,218370,39098,286710,235166,51544,122140,Total
2004,3167459,2696288,471171,905706,767050,138656,1510076,1245543,264533,338346,271949,66397,257087,216045,41042,264390,222601,41789,294472,239520,54952,126237,Total
2005,3224838,2726677,498161,922869,776465,146404,1540703,1262931,277772,348438,278934,69504,263309,219947,43362,268374,224401,43973,305832,247487,58345,131463,Total
2006,3277150,2755298,521852,939295,787321,151974,1568303,1278507,289796,354531,282335,72196,268931,223751,45180,270562,224865,45697,314680,253303,61377,134376,Total
2007,3322789,2761803,560986,942668,781172,161496,1602560,1292305,310255,361924,284835,77089,270479,222733,47746,271640,223082,48558,325694,259599,66095,135770,Total
2008,3336137,2761038,575099,940572,777433,163139,1612333,1293736,318597,358913,280898,78015,268631,220194,48437,270291,221313,48978,330051,262242,67809,135852,Total
2009,3259719,2670804,588915,915380,750045,165335,1569939,1243174,326765,347981,268435,79546,263746,214660,49086,259884,210695,49189,323481,253749,69732,132635,Total
2010,3259810,2659301,600509,905971,740469,165502,1567865,1236117,331748,348614,268191,80423,259455,210745,48710,256713,207708,49005,323452,252982,70470,129697,Total
2011,3297120,2667196,629924,910094,737016,173078,1588311,1243291,345020,351540,268080,83460,260998,210519,50479,256945,205824,51121,328069,255536,72533,129240,Total
2012,3321006,2687934,633072,914389,742035,172354,1601684,1256889,344795,350374,267122,83252,264501,214482,50019,256279,205490,50789,330159,257440,72719,129640,Total
2013,3365736,2711025,654711,924143,746790,177353,1625639,1270089,355550,353571,267584,85987,264768,213324,51444,259821,208144,51677,336028,261346,74682,132122,Total
2014,3423597,2748998,674599,938285,756686,181599,1651096,1287716,363380,359648,271358,88290,266925,214448,52477,264136,211067,53069,340297,264450,75847,134582,Total
2015,3479620,2785620,694000,953090,768023,185067,1675331,1301685,373646,365163,274843,90320,272946,219427,53519,265979,211488,54491,346145,268357,77788,137919,Total
2016,3563127,2840529,722598,975920,787693,188227,1710158,1322173,387985,372785,279766,93019,278609,223544,55065,271723,216969,54754,355818,274435,81383,142680,Total
2017,3617143,2883940,733203,988383,798805,189578,1731815,1342927,388888,377280,284811,92469,283559,228180,55379,275205,220100,55105,357807,276028,81779,145976,Total
2018,3681608,2921849,759759,1001480,804865,196615,1755177,1355527,399650,382872,288318,94554,282179,224817,57362,278728,221319,57409,361817,277407,84410,150265,Total
2019,3706766,2967283,739483,1009669,816600,193069,1756493,1375435,381058,380686,291156,89530,279997,225219,54778,280268,222245,58023,360327,280027,80300,152850,Total
2020,3546307,2759897,786410,971876,764924,206952,1684046,1276941,407105,361520,265284,96236,272120,213012,59108,264917,203228,61689,348082,262186,85896,148110,Total
2021,3691811,2851212,840599,1017159,794802,222357,1760213,1327560,432653,376967,276202,100765,285595,222550,63045,278160,210649,67511,362688,271021,91667,157157,Total
2022,3890318,2988031,902287,1073655,834769,238886,1849417,1383258,466159,398446,290133,108313,299415,231559,67856,293883,221396,72487,380580,281802,98778,168872,Total
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Base
2002,0.001,-0.003,0.028,0.013,0.009,0.033,0,-0.004,0.022,0.009,0.006,0.023,0.019,0.015,0.037,0.007,0.004,0.027,0.002,-0.004,0.032,0.024,Base
2003,0.006,-0.005,0.078,0.032,0.024,0.083,0.001,-0.011,0.065,0.02,0.009,0.071,0.045,0.035,0.103,0.017,0.01,0.062,0.012,-0.003,0.084,0.065,Base
2004,0.019,0,0.147,0.059,0.043,0.16,0.019,-0.002,0.131,0.045,0.024,0.142,0.073,0.055,0.183,0.045,0.029,0.135,0.039,0.016,0.156,0.101,Base
2005,0.038,0.011,0.213,0.08,0.056,0.224,0.04,0.012,0.188,0.076,0.05,0.195,0.099,0.074,0.25,0.06,0.038,0.194,0.079,0.049,0.227,0.146,Base
2006,0.055,0.022,0.27,0.099,0.071,0.271,0.059,0.025,0.239,0.095,0.063,0.242,0.123,0.093,0.302,0.069,0.04,0.241,0.11,0.074,0.291,0.172,Base
2007,0.069,0.024,0.366,0.103,0.062,0.351,0.082,0.036,0.327,0.118,0.073,0.326,0.129,0.088,0.376,0.073,0.031,0.319,0.149,0.101,0.39,0.184,Base
2008,0.074,0.024,0.4,0.1,0.057,0.364,0.088,0.037,0.363,0.109,0.058,0.342,0.122,0.075,0.396,0.068,0.023,0.33,0.165,0.112,0.427,0.185,Base
2009,0.049,-0.01,0.434,0.071,0.02,0.383,0.06,-0.004,0.398,0.075,0.011,0.368,0.101,0.048,0.415,0.027,-0.026,0.336,0.141,0.076,0.467,0.157,Base
2010,0.049,-0.014,0.462,0.06,0.007,0.384,0.058,-0.009,0.419,0.077,0.01,0.383,0.083,0.029,0.404,0.014,-0.04,0.331,0.141,0.073,0.483,0.131,Base
2011,0.061,-0.011,0.533,0.065,0.002,0.447,0.072,-0.003,0.476,0.086,0.01,0.435,0.09,0.028,0.455,0.015,-0.048,0.388,0.158,0.083,0.526,0.127,Base
2012,0.069,-0.003,0.541,0.07,0.009,0.441,0.081,0.007,0.475,0.082,0.006,0.432,0.104,0.047,0.442,0.013,-0.05,0.379,0.165,0.092,0.53,0.13,Base
2013,0.083,0.005,0.594,0.081,0.016,0.483,0.097,0.018,0.521,0.092,0.008,0.479,0.105,0.042,0.483,0.027,-0.038,0.403,0.186,0.108,0.571,0.152,Base
2014,0.102,0.019,0.642,0.098,0.029,0.519,0.115,0.032,0.554,0.111,0.022,0.518,0.115,0.047,0.512,0.044,-0.024,0.441,0.201,0.121,0.596,0.174,Base
2015,0.12,0.033,0.689,0.115,0.045,0.548,0.131,0.043,0.598,0.128,0.035,0.553,0.14,0.071,0.542,0.051,-0.022,0.48,0.221,0.138,0.636,0.203,Base
