year,MPO_other,MPO_nonwht,MPO_black,Hopewell_nonwht,Hopewell_black,Hopewell_asian,Hopewell_latinx,Hopewell_other,Petersburg_nonwht,Petersburg_black,Petersburg_asian,Petersburg_latinx,Petersburg_other,ColonialHeights_nonwht,ColonialHeights_black,ColonialHeights_asian,ColonialHeights_latinx,ColonialHeights_other,Chesterfield_nonwht,Chesterfield_black,Chesterfield_asian,Chesterfield_latinx,Chesterfield_other,Dinwiddie_nonwht,Dinwiddie_black,Dinwiddie_asian,Dinwiddie_latinx,Dinwiddie_other,PrinceGeorge_nonwht,PrinceGeorge_black,PrinceGeorge_asian,PrinceGeorge_latinx,PrinceGeorge_other
2000,0.216,0,0,0.11,0.322,0.319,0.322,0.196,0.305,0.175,0.312,0.252,0.269,0.395,0.324,0.114,0.342,0.446,0.376,0.267,0.423,0.243,0.293,0.296,0.361,0.433,-0.02,-0.02,-0.082,-0.112,0.042,-0.295,-0.295
2005,0.223,0,0,0.205,0.386,0.219,0.42,0.181,0.28,0.234,0.411,0.297,0.296,0.432,0.392,0.24,0.435,0.41,0.483,0.292,0.438,0.31,0.419,0.369,0.422,0.499,-0.068,-0.133,-0.248,-0.317,0.264,-0.143,-0.253
2006,0.317,0,0,0.231,0.329,0.295,0.281,0.077,0.291,0.187,0.382,0.274,0.277,0.418,0.51,0.254,0.317,0.529,0.376,0.215,0.461,0.26,0.387,0.329,0.409,0.482,-0.011,-0.109,0.058,-0.213,-0.084,-0.166,-0.454
2007,0.122,0,0,0.22,0.368,0.196,0.326,0.054,0.256,0.252,0.379,0.274,0.255,0.407,0.423,0.221,0.433,0.408,0.424,0.144,0.452,0.346,0.357,0.351,0.418,0.472,-0.348,0,-0.024,-0.382,-0.077,-0.736,-0.441
2008,0.171,0,0,0.187,0.377,0.227,0.397,0.189,0.334,0.234,0.397,0.3,0.285,0.428,0.467,0.145,0.431,0.381,0.475,0.263,0.548,0.328,0.391,0.369,0.432,0.495,-0.326,0.044,-0.216,-0.198,0.095,0.094,-0.304
2009,0.188,0,0,0.164,0.358,0.233,0.394,0.216,0.272,0.085,0.408,0.272,0.239,0.41,0.428,0.272,0.403,0.567,0.438,0.199,0.496,0.21,0.394,0.372,0.406,0.487,-0.284,-0.263,-0.309,-0.577,0.108,0.166,-0.515
2010,0.205,0,0,0.085,0.315,0.226,0.309,0.25,0.267,0.179,0.405,0.242,0.243,0.409,0.501,0.157,0.311,0.405,0.397,0.43,0.447,0.25,0.406,0.32,0.385,0.486,-0.28,-0.327,0.067,-0.255,-0.167,-0.341,-0.53
2011,0.056,0,0,0.166,0.451,0.218,0.342,0.246,0.336,0.206,0.406,0.328,0.234,0.427,0.376,0.211,0.444,0.496,0.407,0.312,0.529,0.347,0.411,0.393,0.412,0.506,-0.553,-0.362,0.012,-0.429,-0.024,-0.446,-0.364
2012,0.098,0,0,0.166,0.373,0.172,0.414,0.212,0.363,0.219,0.446,0.308,0.259,0.435,0.437,0.232,0.399,0.39,0.471,0.209,0.592,0.329,0.448,0.393,0.429,0.517,-0.504,-0.273,-0.011,-0.448,0.008,-0.023,-0.33
2013,0.22,0,0,0.053,0.409,0.189,0.421,0.182,0.317,0.21,0.421,0.278,0.279,0.421,0.456,0.152,0.477,0.439,0.457,0.176,0.526,0.308,0.416,0.373,0.419,0.495,-0.294,-0.36,-0.227,-0.549,0.188,-0.449,-0.317
