year,MPO_female,MPO_latinx,MPO_asian,MPO_black,MPO_minority,Hopewell_female,Hopewell_latinx,Hopewell_asian,Hopewell_black,Hopewell_minority,Petersburg_female,Petersburg_latinx,Petersburg_asian,Petersburg_black,Petersburg_minority,ColonialHeights_female,ColonialHeights_latinx,ColonialHeights_asian,ColonialHeights_black,ColonialHeights_minority,Chesterfield_female,Chesterfield_latinx,Chesterfield_asian,Chesterfield_black,Chesterfield_minority,Dinwiddie_female,Dinwiddie_latinx,Dinwiddie_asian,Dinwiddie_black,Dinwiddie_minority,PrinceGeorge_female,PrinceGeorge_latinx,PrinceGeorge_asian,PrinceGeorge_black,PrinceGeorge_minority,value
2007,0.109,0.168,0.017,0.266,0.205,0.109,0.144,-0.024,0.206,0.16,0.095,0.137,0.011,0.247,0.156,0.08,0.182,0.005,0.181,0.086,0.124,0.132,0.009,0.209,0.183,0.11,0.157,0.026,0.19,0.164,0.085,0.131,-0.087,0.268,0.113,All
2008,0.116,0.16,0.034,0.276,0.201,0.097,0.157,-0.002,0.199,0.143,0.119,0.101,0.007,0.26,0.145,0.118,0.097,0.009,0.241,0.101,0.136,0.167,-0.005,0.227,0.186,0.052,0.146,0.065,0.182,0.155,0.112,0.128,-0.045,0.202,0.089,All
2009,0.083,0.144,0.057,0.247,0.147,0.077,0.143,0.036,0.171,0.105,0.074,0.066,0.031,0.214,0.093,0.084,0.057,0.037,0.181,0.07,0.09,0.12,0.036,0.174,0.121,0.072,0.161,0.113,0.154,0.134,0.068,0.092,0.016,0.231,0.085,All
2010,0.069,0.13,0.035,0.222,0.118,0.088,0.115,0.022,0.185,0.099,0.053,0.07,0.018,0.159,0.063,0.051,0.075,0.008,0.115,0.032,0.093,0.055,0.041,0.167,0.113,0.1,0.179,0.083,0.214,0.157,0.05,0.108,-0.002,0.167,0.044,All
2011,0.059,0.126,0.049,0.217,0.122,0.06,0.112,0.023,0.146,0.079,0.043,0.056,0.031,0.171,0.081,0.043,0.046,0.038,0.098,0.064,0.078,0.068,0.068,0.121,0.105,0.053,0.155,0.091,0.145,0.114,0.047,0.055,-0.016,0.196,0.038,All
2012,0.055,0.111,0.044,0.2,0.113,0.055,0.091,0.02,0.134,0.079,0.043,0.067,0.035,0.166,0.078,0.053,0.092,0.037,0.175,0.069,0.058,0.032,0.042,0.121,0.096,0.052,0.115,0.075,0.121,0.102,0.032,0.088,-0.006,0.145,0.032,All
2013,0.048,0.118,0.044,0.199,0.116,0.046,0.098,0.013,0.121,0.069,0.04,0.09,0.036,0.174,0.087,0.048,0.094,0.045,0.159,0.075,0.059,0.059,-0.033,0.127,0.063,0.051,0.132,0.088,0.11,0.111,0.046,0.069,0.014,0.123,0.047,All
2014,0.056,0.125,0.029,0.241,0.14,0.041,0.133,0.012,0.176,0.103,0.05,0.06,0.02,0.197,0.095,0.044,0.06,0.021,0.156,0.057,0.033,0.056,-0.006,0.194,0.125,0.047,0.198,0.062,0.109,0.101,0.043,0.119,-0.018,0.17,0.048,All
2015,0.043,0.11,0.016,0.23,0.119,0.029,0.077,0.022,0.173,0.101,0.037,0.068,-0.001,0.185,0.072,0.034,0.057,-0.009,0.169,0.04,0.014,-0.001,0.037,0.151,0.106,0.035,0.106,0.095,0.15,0.133,0.037,0.114,-0.045,0.146,0.031,All
2016,0.045,0.11,0.012,0.204,0.102,0.044,0.096,0.008,0.163,0.087,0.038,0.089,0.004,0.169,0.07,0.045,0.096,-0.004,0.135,0.04,0.073,0.071,-0.009,0.159,0.09,0.023,0.105,0.108,0.172,0.151,0.037,0.105,-0.017,0.217,0.049,All
2017,0.035,0.09,0.008,0.187,0.096,0.034,0.09,0.024,0.157,0.098,0.024,0.049,0.005,0.129,0.057,0.031,0.052,-0.034,0.055,-0.007,0.049,0.049,0.039,0.147,0.106,0.032,0.106,0.041,0.198,0.14,0.031,0.09,-0.01,0.165,0.055,All
2018,0.008,0.085,0.038,0.189,0.14,-0.001,0.06,0.047,0.129,0.105,0,0.082,0.033,0.154,0.1,0.005,0.069,0.009,0.072,0.039,-0.011,0.056,0.009,0.108,0.084,-0.006,0.059,0.103,0.123,0.127,0.001,0.079,-0.044,0.212,0.044,All
2019,0.015,0.084,0.036,0.18,0.132,0.006,0.049,0.029,0.121,0.092,0.004,0.096,0.033,0.136,0.089,0.003,0.087,0.018,0.075,0.046,0.009,0.052,0.03,0.1,0.085,0.001,0.047,0.104,0.126,0.128,0.003,0.114,-0.029,0.131,0.018,All
