year,MPO_All,MPO_int_nhs,MPO_ni_nhs,MPO_non_nhs,hw_All,hw_int_nhs,hw_ni_nhs,hw_non_nhs,pet_All,pet_int_nhs,pet_ni_nhs,pet_non_nhs,coh_All,coh_int_nhs,coh_ni_nhs,coh_non_nhs,ches_All,ches_int_nhs,ches_ni_nhs,ches_non_nhs,din_All,din_int_nhs,din_ni_nhs,din_non_nhs,prg_All,prg_int_nhs,prg_ni_nhs,prg_non_nhs
2010,0.012,0.052,0.01,0.021,0.088,0.061,0.039,0.018,0.019,0.072,0.095,0.036,0.085,0.052,0.052,0.013,0.016,0.073,0.073,0.015,0.027,0.099,0.024,0.073,0.066,0.01,0.054,0.015
2011,0.052,0.052,0.066,0.066,0.031,0.032,0.011,0.086,0.072,0.082,0.033,0.093,0.029,0.082,0.023,0.042,0.015,0.059,0.067,0.031,0.063,0.079,0.06,0.089,0.061,0.053,0.019,0.079
2012,0.051,0.043,0.02,0.087,0.082,0.013,0.047,0.025,0.1,0.049,0.098,0.064,0.097,0.061,0.053,0.048,0.024,0.011,0.032,0.022,0.069,0.042,0.059,0.047,0.043,0.058,0.018,0.012
2013,0.044,0.087,0.096,0.069,0.018,0.094,0.071,0.046,0.049,0.029,0.047,0.084,0.053,0.028,0.082,0.068,0.053,0.026,0.046,0.023,0.055,0.075,0.1,0.053,0.096,0.012,0.087,0.047
2014,0.076,0.02,0.03,0.049,0.083,0.061,0.049,0.064,0.099,0.032,0.062,0.035,0.033,0.053,0.072,0.083,0.081,0.096,0.053,0.049,0.046,0.026,0.089,0.088,0.034,0.099,0.03,0.047
2015,0.012,0.023,0.077,0.08,0.028,0.018,0.014,0.089,0.015,0.083,0.06,0.03,0.032,0.04,0.04,0.021,0.03,0.077,0.089,0.035,0.014,0.056,0.018,0.022,0.063,0.093,0.097,0.015
2016,0.044,0.044,0.092,0.047,0.059,0.066,0.085,0.024,0.02,0.035,0.077,0.083,0.062,0.015,0.015,0.072,0.093,0.069,0.065,0.037,0.054,0.02,0.057,0.069,0.035,0.087,0.025,0.095
2017,0.013,0.021,0.079,0.024,0.029,0.037,0.013,0.046,0.057,0.037,0.091,0.086,0.031,0.051,0.07,0.04,0.085,0.079,0.032,0.09,0.058,0.019,0.028,0.028,0.066,0.011,0.024,0.013
2018,0.021,0.03,0.068,0.056,0.025,0.02,0.038,0.087,0.089,0.081,0.083,0.013,0.023,0.019,0.022,0.062,0.019,0.013,0.028,0.094,0.048,0.097,0.094,0.032,0.035,0.057,0.062,0.069
2019,0.015,0.094,0.072,0.022,0.035,0.097,0.044,0.024,0.037,0.097,0.011,0.047,0.068,0.04,0.024,0.054,0.024,0.026,0.026,0.023,0.043,0.057,0.016,0.015,0.029,0.066,0.055,0.06
2020,0.015,0.027,0.076,0.1,0.066,0.035,0.089,0.076,0.098,0.017,0.061,0.068,0.038,0.072,0.052,0.023,0.049,0.091,0.049,0.082,0.074,0.019,0.058,0.062,0.019,0.088,0.064,0.063
2021,0.067,0.079,0.049,0.02,0.03,0.087,0.09,0.073,0.038,0.036,0.021,0.097,0.051,0.07,0.034,0.051,0.086,0.014,0.056,0.026,0.022,0.097,0.078,0.086,0.086,0.048,0.043,0.038
2022,0.099,0.056,0.056,0.01,0.086,0.02,0.032,0.048,0.073,0.098,0.098,0.075,0.085,0.062,0.08,0.078,0.084,0.092,0.091,0.054,0.095,0.094,0.041,0.05,0.065,0.082,0.038,0.062
